0,1,2,3,4,5,6,7,8,9,10,11
1,KGEI,Kolibri Global Energy Inc.,https://stockanalysis.com/stocks/kgei/,0.66,5.82,n/a,2008,"10,436.39%",3.91,"14,602",139.25M
2,ATLX,Atlas Lithium Corporation,https://stockanalysis.com/stocks/atlx/,-3.71,n/a,n/a,2011,"3,361.11%",31.29,"98,972",346.49M
3,AMR,"Alpha Metallurgical Resources, Inc.",https://stockanalysis.com/stocks/amr/,50.00,6.95,$2.00 (0.59%),2016,"2,889.01%",338.23,"95,522",4.48B
4,APLD,Applied Digital Corporation,https://stockanalysis.com/stocks/apld/,-0.57,n/a,n/a,2001,"2,538.24%",6.85,"3,663,687",725.72M
5,IVT,InvenTrust Properties Corp.,https://stockanalysis.com/stocks/ivt/,0.04,644.25,$0.86 (3.37%),2005,"2,242.73%",25.55,"90,861",1.73B
6,DXLG,"Destination XL Group, Inc.",https://stockanalysis.com/stocks/dxlg/,0.48,9.58,n/a,1987,"1,736.00%",4.39,"630,504",263.90M
7,PMN,"ProMIS Neurosciences, Inc.",https://stockanalysis.com/stocks/pmn/,-1.94,n/a,n/a,2004,"1,500.00%",1.17,"29,250",22.10M
8,CEIX,CONSOL Energy Inc.,https://stockanalysis.com/stocks/ceix/,19.99,5.07,$2.20 (2.19%),2017,"1,443.53%",100.76,"234,930",3.12B
9,SGML,Sigma Lithium Corporation,https://stockanalysis.com/stocks/sgml/,-1.06,n/a,n/a,2011,"1,355.13%",31.25,"471,624",3.42B
10,HDSN,"Hudson Technologies, Inc.",https://stockanalysis.com/stocks/hdsn/,1.13,11.82,n/a,1994,"1,184.62%",13.50,"82,858",614.28M
11,RCMT,"RCM Technologies, Inc.",https://stockanalysis.com/stocks/rcmt/,1.82,15.99,n/a,1971,"1,150.22%",28.97,"62,429",227.14M
12,VIST,"Vista Energy, SAB de CV",https://stockanalysis.com/stocks/vist/,3.53,8.25,n/a,2019,"1,017.24%",29.64,"222,620",2.82B
13,AEHR,Aehr Test Systems,https://stockanalysis.com/stocks/aehr/,0.64,40.73,n/a,1997,997.07%,26.43,"808,537",760.71M
14,OBE,Obsidian Energy Ltd.,https://stockanalysis.com/stocks/obe/,6.34,1.08,n/a,1979,981.10%,6.83,"181,174",540.73M
15,BTU,Peabody Energy Corporation,https://stockanalysis.com/stocks/btu/,7.65,3.19,$0.30 (1.24%),2016,963.00%,24.28,"1,811,506",3.18B
16,SMCI,"Super Micro Computer, Inc.",https://stockanalysis.com/stocks/smci/,10.85,26.23,n/a,2007,837.44%,285.12,"1,578,972",15.84B
17,PR,Permian Resources Corporation,https://stockanalysis.com/stocks/pr/,0.90,15.21,$0.37 (2.69%),2016,823.65%,13.66,"6,112,157",10.54B
18,TDW,Tidewater Inc.,https://stockanalysis.com/stocks/tdw/,1.40,51.64,n/a,1956,724.35%,72.08,"404,337",3.77B
19,JAKK,"JAKKS Pacific, Inc.",https://stockanalysis.com/stocks/jakk/,8.21,4.46,n/a,1996,614.37%,35.45,"69,571",357.80M
20,HNRG,Hallador Energy Company,https://stockanalysis.com/stocks/hnrg/,2.45,3.58,n/a,1949,582.17%,8.81,"289,327",291.98M
1,KGEI,Kolibri Global Energy Inc.,https://stockanalysis.com/stocks/kgei/,0.66,5.82,n/a,2008,574.32%,10.90,"49,736",247.24M
22,SM,SM Energy Company,https://stockanalysis.com/stocks/sm/,6.84,5.69,$0.60 (1.54%),1992,567.86%,38.98,"414,770",4.53B
23,DDS,"Dillard's, Inc.",https://stockanalysis.com/stocks/dds/,46.08,8.77,$0.90 (0.22%),1938,557.64%,404.33,"36,610",6.57B
24,PBF,PBF Energy Inc.,https://stockanalysis.com/stocks/pbf/,21.66,2.05,$1.00 (2.27%),2012,553.54%,44.02,"671,414",5.38B
25,TGLS,Tecnoglass Inc.,https://stockanalysis.com/stocks/tgls/,4.24,10.84,$0.36 (0.78%),2012,543.06%,45.94,"126,950",2.19B
26,JILL,"J.Jill, Inc.",https://stockanalysis.com/stocks/jill/,2.24,11.58,n/a,2017,534.80%,26.01,"94,783",275.78M
27,ELF,"e.l.f. Beauty, Inc.",https://stockanalysis.com/stocks/elf/,2.14,67.66,n/a,2016,522.79%,145.06,"362,032",8.01B
28,BTE,Baytex Energy Corp.,https://stockanalysis.com/stocks/bte/,0.93,3.56,$0.07 (2.02%),1993,520.48%,3.32,"6,671,976",2.81B
29,BVH,Bluegreen Vacations Holding Corporation,https://stockanalysis.com/stocks/bvh/,3.73,20.13,$0.80 (1.07%),1966,508.04%,75.08,"66,004",1.28B
30,METC,"Ramaco Resources, Inc.",https://stockanalysis.com/stocks/metc/,1.44,11.93,$0.55 (3.22%),2017,502.10%,17.08,"733,135",867.68M
31,ESEA,Euroseas Ltd.,https://stockanalysis.com/stocks/esea/,15.82,1.97,$2.00 (6.40%),2006,497.64%,31.23,"30,117",217.85M
32,TH,Target Hospitality Corp.,https://stockanalysis.com/stocks/th/,1.55,6.28,n/a,James Bradley Archer,478.40%,9.72,"237,633",985.10M
33,BBW,"Build-A-Bear Workshop, Inc.",https://stockanalysis.com/stocks/bbw/,3.45,6.55,n/a,2004,462.25%,22.91,"246,230",328.32M
34,LWLG,"Lightwave Logic, Inc.",https://stockanalysis.com/stocks/lwlg/,-0.18,n/a,n/a,1991,462.11%,5.04,"626,643",588.53M
35,SSNT,"SilverSun Technologies, Inc.",https://stockanalysis.com/stocks/ssnt/,-0.28,n/a,$0.20 (1.15%),1988,457.88%,17.46,"556,223",89.36M
36,MLTX,MoonLake Immunotherapeutics,https://stockanalysis.com/stocks/mltx/,-1.07,n/a,n/a,2021,457.53%,61.10,"300,194",3.66B
37,SBOW,"SilverBow Resources, Inc.",https://stockanalysis.com/stocks/sbow/,14.60,1.97,n/a,1979,448.66%,28.92,"198,122",737.33M
38,GSAT,"Globalstar, Inc.",https://stockanalysis.com/stocks/gsat/,-0.01,n/a,n/a,2006,446.48%,1.94,"3,593,417",3.69B
39,CLMT,"Calumet Specialty Products Partners, L.P.",https://stockanalysis.com/stocks/clmt/,0.52,34.21,n/a,2006,436.34%,17.80,"94,175",1.42B
40,STNG,Scorpio Tankers Inc.,https://stockanalysis.com/stocks/stng/,11.89,5.05,$1.40 (2.30%),2010,426.24%,60.99,"640,985",3.35B
21,EP,Empire Petroleum Corporation,https://stockanalysis.com/stocks/ep/,-0.45,n/a,n/a,1983,417.05%,4.52,"541,604",586.66M
42,TMST,TimkenSteel Corporation,https://stockanalysis.com/stocks/tmst/,0.82,28.54,n/a,1899,413.12%,23.67,"115,817",1.02B
43,ZEUS,"Olympic Steel, Inc.",https://stockanalysis.com/stocks/zeus/,3.55,18.81,$0.50 (0.74%),1994,412.61%,67.20,"65,012",749.05M
44,EDN,Empresa Distribuidora y Comercializadora Norte SA,https://stockanalysis.com/stocks/edn/,-0.49,8.66,n/a,2007,411.55%,19.34,"44,698",1.07B
45,VTNR,"Vertex Energy, Inc.",https://stockanalysis.com/stocks/vtnr/,0.47,7.28,n/a,Benjamin P. Cowart,408.70%,3.39,"1,484,815",317.48M
46,CPRX,"Catalyst Pharmaceuticals, Inc.",https://stockanalysis.com/stocks/cprx/,0.53,31.75,n/a,2006,399.11%,16.91,"410,108",1.80B
47,MOD,Modine Manufacturing Company,https://stockanalysis.com/stocks/mod/,3.88,15.52,n/a,1916,393.53%,60.51,"269,280",3.16B
48,ARLP,"Alliance Resource Partners, L.P.",https://stockanalysis.com/stocks/arlp/,5.56,3.77,$2.80 (13.25%),1999,391.16%,21.14,"376,001",2.69B
49,ERF,Enerplus Corporation,https://stockanalysis.com/stocks/erf/,2.20,6.99,$0.24 (1.56%),1999,389.94%,15.35,"961,921",3.15B
50,ICCM,IceCure Medical Ltd,https://stockanalysis.com/stocks/iccm/,-0.36,n/a,n/a,2006,381.82%,1.07,"256,376",58.07M
51,ESOA,Energy Services of America Corporation,https://stockanalysis.com/stocks/esoa/,0.20,28.90,$0.06 (1.03%),2006,381.67%,5.85,"104,148",96.92M
